method,n,mean,median,std,p90,p95,p99,min,max,trimmed_mean_10,geometric_mean,timeout_count_overall,timeout_rate_overall
Chalupa,87,0.13116600321627211,0.06416726112365723,0.20703306116931405,0.25002670288085954,0.43455893993377703,1.079234747886658,0.011590242385864258,1.3751962184906006,0.08593164699178346,0.06968303527112789,0,0.0
Standard ILP,87,0.060591078352654114,0.012959718704223633,0.1477275659767926,0.14270944595336918,0.2556149721145631,0.5615995502471928,9.1552734375e-05,1.1346383094787598,0.027808075219812527,0.011074295874039302,0,0.0
ILP + Warmstart,87,0.18670432046912183,0.06814789772033691,0.4315475635832142,0.40371937751770054,0.8405202865600595,1.5622195291519176,5.888938903808594e-05,3.4898788928985596,0.09835630067637269,0.022581546444105115,0,0.0
Reduced ILP,87,0.1801183141511062,0.07849645614624023,0.3326458805800629,0.3750114917755128,0.662634611129761,1.4272383499145516,0.011589527130126953,2.4368999004364014,0.10721665368953222,0.08244616234113117,0,0.0
Interactive Reduced ILP,64,0.29812490940093994,0.19115757942199707,0.6086186552759534,0.6447944879531861,0.9673367023468014,2.4825344920158305,0.0002319812774658203,4.476166486740112,0.18309535888525155,0.04037851763401547,0,0.0
